date,code,name,open,high,low,close,volume,amount
2026-06-18 15:00,512000,,0.515,0.516,0.501,0.502,26280248.0,1332273792.0
2026-06-17 15:00,512000,,0.517,0.522,0.513,0.517,26339308.0,1360343936.0
2026-06-16 15:00,512000,,0.508,0.52,0.507,0.517,27598548.0,1421302016.0
2026-06-15 15:00,512000,,0.501,0.526,0.5,0.512,50486040.0,2597111296.0
2026-06-12 15:00,512000,,0.483,0.501,0.48,0.499,34973208.0,1725802240.0
2026-06-11 15:00,512000,,0.485,0.491,0.477,0.482,18370214.0,886805376.0
2026-06-10 15:00,512000,,0.478,0.488,0.477,0.487,21278964.0,1027473024.0
2026-06-09 15:00,512000,,0.478,0.481,0.474,0.48,16614461.0,793881344.0
2026-06-08 15:00,512000,,0.481,0.486,0.476,0.477,24569598.0,1181679744.0
2026-06-05 15:00,512000,,0.488,0.494,0.485,0.485,17882982.0,874300672.0
2026-06-04 15:00,512000,,0.492,0.497,0.485,0.488,22625516.0,1107612288.0
2026-06-03 15:00,512000,,0.494,0.5,0.49,0.495,25974708.0,1286156800.0
2026-06-02 15:00,512000,,0.493,0.498,0.49,0.495,22915270.0,1131420160.0
2026-06-01 15:00,512000,,0.493,0.498,0.49,0.494,15441870.0,763178112.0
2026-05-29 15:00,512000,,0.488,0.501,0.488,0.493,26083502.0,1292565248.0
2026-05-28 15:00,512000,,0.498,0.499,0.485,0.488,28471244.0,1394146048.0
2026-05-27 15:00,512000,,0.502,0.51,0.495,0.499,22980608.0,1151207808.0
2026-05-26 15:00,512000,,0.498,0.51,0.496,0.504,25437496.0,1282125824.0
2026-05-25 15:00,512000,,0.498,0.503,0.494,0.499,19925282.0,992288640.0
2026-05-22 15:00,512000,,0.504,0.506,0.494,0.496,24326042.0,1208814976.0
2026-05-21 15:00,512000,,0.505,0.522,0.502,0.503,42955208.0,2209897472.0
2026-05-20 15:00,512000,,0.502,0.506,0.5,0.501,17282824.0,867681088.0
2026-05-19 15:00,512000,,0.501,0.506,0.496,0.505,21177952.0,1060488256.0
2026-05-18 15:00,512000,,0.5,0.505,0.497,0.5,17429034.0,872744192.0
2026-05-15 15:00,512000,,0.512,0.513,0.499,0.501,25240000.0,1276229504.0
2026-05-14 15:00,512000,,0.524,0.526,0.512,0.512,21040314.0,1090948608.0
2026-05-13 15:00,512000,,0.524,0.527,0.518,0.523,19877542.0,1036132672.0
2026-05-12 15:00,512000,,0.524,0.531,0.521,0.527,34537824.0,1818977664.0
2026-05-11 15:00,512000,,0.515,0.528,0.513,0.525,38555472.0,2010595840.0
2026-05-08 15:00,512000,,0.518,0.521,0.515,0.517,13574633.0,702246336.0
2026-05-07 15:00,512000,,0.525,0.526,0.517,0.521,21071282.0,1094376192.0
2026-05-06 15:00,512000,,0.517,0.526,0.516,0.523,25231284.0,1316365824.0
2026-04-30 15:00,512000,,0.513,0.524,0.513,0.516,21481926.0,1111518336.0
2026-04-29 15:00,512000,,0.51,0.515,0.509,0.514,17933068.0,918057024.0
2026-04-28 15:00,512000,,0.506,0.517,0.505,0.512,24328738.0,1248004864.0
2026-04-27 15:00,512000,,0.505,0.512,0.504,0.506,14256593.0,723030400.0
2026-04-24 15:00,512000,,0.508,0.508,0.502,0.504,14334180.0,723110528.0
2026-04-23 15:00,512000,,0.513,0.515,0.508,0.509,20637656.0,1053703104.0
2026-04-22 15:00,512000,,0.508,0.519,0.507,0.514,18860168.0,969389056.0
2026-04-21 15:00,512000,,0.513,0.513,0.508,0.509,12497791.0,637563328.0
2026-04-20 15:00,512000,,0.516,0.517,0.512,0.514,13380314.0,688194112.0
2026-04-17 15:00,512000,,0.515,0.517,0.511,0.514,16327706.0,839024704.0
2026-04-16 15:00,512000,,0.515,0.52,0.514,0.516,17254380.0,891569216.0
2026-04-15 15:00,512000,,0.519,0.519,0.512,0.514,13461126.0,693083840.0
2026-04-14 15:00,512000,,0.518,0.519,0.51,0.517,17729254.0,910797888.0
2026-04-13 15:00,512000,,0.506,0.518,0.505,0.514,16898192.0,867658816.0
2026-04-10 15:00,512000,,0.499,0.522,0.499,0.51,40715552.0,2089438976.0
2026-04-09 15:00,512000,,0.5,0.5,0.492,0.493,14113661.0,698937024.0
2026-04-08 15:00,512000,,0.493,0.505,0.493,0.504,26131538.0,1303440640.0
2026-04-07 15:00,512000,,0.486,0.488,0.482,0.484,9084883.0,440723776.0
2026-04-03 15:00,512000,,0.492,0.493,0.485,0.485,13258426.0,647564160.0
2026-04-02 15:00,512000,,0.497,0.498,0.488,0.49,17030616.0,838266944.0
2026-04-01 15:00,512000,,0.497,0.5,0.495,0.499,12616261.0,628278464.0
2026-03-31 15:00,512000,,0.495,0.502,0.491,0.492,13856195.0,686816256.0
2026-03-30 15:00,512000,,0.493,0.497,0.49,0.496,15782417.0,779405248.0
2026-03-27 15:00,512000,,0.492,0.5,0.491,0.499,12484173.0,620345216.0
2026-03-26 15:00,512000,,0.505,0.506,0.493,0.495,18001054.0,896254144.0
2026-03-25 15:00,512000,,0.502,0.51,0.5,0.506,19010952.0,960541376.0
2026-03-24 15:00,512000,,0.499,0.504,0.494,0.5,19028340.0,950114304.0
2026-03-23 15:00,512000,,0.51,0.511,0.492,0.495,33214074.0,1666858624.0
2026-03-20 15:00,512000,,0.526,0.527,0.516,0.517,24371054.0,1269284096.0
2026-03-19 15:00,512000,,0.529,0.531,0.524,0.525,22304988.0,1175191424.0
2026-03-18 15:00,512000,,0.534,0.534,0.529,0.533,15963699.0,848118272.0
2026-03-17 15:00,512000,,0.53,0.545,0.529,0.534,27186280.0,1463298048.0
2026-03-16 15:00,512000,,0.531,0.532,0.526,0.529,15041670.0,794302144.0
2026-03-13 15:00,512000,,0.534,0.538,0.53,0.531,16446756.0,877196352.0
2026-03-12 15:00,512000,,0.535,0.538,0.533,0.536,11101212.0,594361536.0
2026-03-11 15:00,512000,,0.535,0.538,0.533,0.536,11219876.0,601023808.0
2026-03-10 15:00,512000,,0.534,0.538,0.533,0.535,13074973.0,699569408.0
2026-03-09 15:00,512000,,0.534,0.534,0.528,0.531,17099556.0,907465856.0
2026-03-06 15:00,512000,,0.532,0.543,0.531,0.54,15527852.0,835776576.0
2026-03-05 15:00,512000,,0.538,0.539,0.532,0.534,11350499.0,607448192.0
2026-03-04 15:00,512000,,0.543,0.543,0.532,0.533,23065768.0,1237751552.0
2026-03-03 15:00,512000,,0.551,0.557,0.545,0.546,22689054.0,1249103616.0
2026-03-02 15:00,512000,,0.554,0.555,0.547,0.551,19297202.0,1063415744.0
2026-02-27 15:00,512000,,0.556,0.561,0.555,0.558,14440454.0,804929984.0
2026-02-26 15:00,512000,,0.563,0.563,0.556,0.558,16942754.0,946031040.0
2026-02-25 15:00,512000,,0.561,0.568,0.56,0.563,18700826.0,1056411840.0
2026-02-24 15:00,512000,,0.564,0.564,0.559,0.56,11235628.0,630107968.0
2026-02-13 15:00,512000,,0.567,0.569,0.561,0.562,13336042.0,753003840.0
2026-02-12 15:00,512000,,0.57,0.571,0.566,0.567,10543107.0,598184512.0
2026-02-11 15:00,512000,,0.571,0.572,0.569,0.571,8510168.0,485575424.0
2026-02-10 15:00,512000,,0.572,0.574,0.57,0.571,9434521.0,539380160.0
2026-02-09 15:00,512000,,0.57,0.573,0.568,0.572,10751768.0,614052288.0
2026-02-06 15:00,512000,,0.567,0.571,0.565,0.567,11391525.0,646995328.0
2026-02-05 15:00,512000,,0.568,0.574,0.564,0.57,16964396.0,965308672.0
2026-02-04 15:00,512000,,0.559,0.57,0.558,0.569,21581496.0,1220758272.0
2026-02-03 15:00,512000,,0.565,0.567,0.555,0.561,24624466.0,1378735360.0
2026-02-02 15:00,512000,,0.568,0.577,0.561,0.563,23692140.0,1347960064.0
2026-01-30 15:00,512000,,0.576,0.579,0.568,0.57,20214204.0,1157092864.0
2026-01-29 15:00,512000,,0.571,0.58,0.565,0.579,31963046.0,1827006848.0
2026-01-28 15:00,512000,,0.573,0.577,0.571,0.573,17048674.0,977950848.0
2026-01-27 15:00,512000,,0.578,0.578,0.567,0.573,24571876.0,1406866304.0
2026-01-26 15:00,512000,,0.573,0.586,0.573,0.579,25780532.0,1492024960.0
2026-01-23 15:00,512000,,0.575,0.577,0.572,0.574,20113982.0,1155431936.0
2026-01-22 15:00,512000,,0.574,0.579,0.573,0.575,12237171.0,704296320.0
2026-01-21 15:00,512000,,0.576,0.578,0.572,0.573,19430152.0,1116354176.0
2026-01-20 15:00,512000,,0.576,0.579,0.574,0.577,16321884.0,940378176.0
2026-01-19 15:00,512000,,0.575,0.577,0.572,0.575,21533830.0,1235963648.0
2026-01-16 15:00,512000,,0.585,0.587,0.575,0.577,26346444.0,1526606592.0
2026-01-15 15:00,512000,,0.588,0.592,0.58,0.581,32019352.0,1872180992.0
2026-01-14 15:00,512000,,0.594,0.61,0.587,0.591,56256088.0,3374541824.0
2026-01-13 15:00,512000,,0.601,0.608,0.593,0.595,27597320.0,1657088128.0
2026-01-12 15:00,512000,,0.591,0.6,0.587,0.599,41687384.0,2474055168.0
2026-01-09 15:00,512000,,0.589,0.595,0.587,0.591,26142178.0,1542879744.0
2026-01-08 15:00,512000,,0.601,0.601,0.587,0.59,37541320.0,2222361856.0
2026-01-07 15:00,512000,,0.615,0.615,0.601,0.605,24965064.0,1516436096.0
2026-01-06 15:00,512000,,0.59,0.616,0.588,0.614,55938520.0,3393325568.0
2026-01-05 15:00,512000,,0.581,0.59,0.58,0.59,23511518.0,1378563584.0
2025-12-31 15:00,512000,,0.583,0.587,0.579,0.579,13582143.0,791085376.0
2025-12-30 15:00,512000,,0.581,0.587,0.58,0.582,12412813.0,723024832.0
2025-12-29 15:00,512000,,0.587,0.588,0.582,0.583,18082370.0,1057252096.0
2025-12-26 15:00,512000,,0.583,0.594,0.582,0.588,31083544.0,1830268672.0
2025-12-25 15:00,512000,,0.581,0.585,0.58,0.583,17258734.0,1006242944.0
2025-12-24 15:00,512000,,0.576,0.583,0.575,0.581,14254950.0,826321984.0
2025-12-23 15:00,512000,,0.578,0.582,0.576,0.577,13070729.0,756449664.0
2025-12-22 15:00,512000,,0.578,0.581,0.577,0.578,11439788.0,662198784.0
2025-12-19 15:00,512000,,0.576,0.583,0.574,0.578,15337221.0,888454144.0
2025-12-18 15:00,512000,,0.58,0.583,0.576,0.576,14663237.0,847259776.0
2025-12-17 15:00,512000,,0.571,0.588,0.568,0.582,27894364.0,1610911360.0
2025-12-16 15:00,512000,,0.573,0.577,0.57,0.571,14113539.0,807636416.0
2025-12-15 15:00,512000,,0.569,0.582,0.568,0.574,19588200.0,1129453184.0
2025-12-12 15:00,512000,,0.569,0.576,0.566,0.571,16939806.0,967622784.0
2025-12-11 15:00,512000,,0.576,0.577,0.568,0.569,12378618.0,707689920.0
2025-12-10 15:00,512000,,0.573,0.578,0.569,0.576,17350910.0,994693760.0
2025-12-09 15:00,512000,,0.578,0.581,0.573,0.574,22810206.0,1315722624.0
2025-12-08 15:00,512000,,0.579,0.591,0.579,0.583,44096480.0,2582866944.0
2025-12-05 15:00,512000,,0.556,0.576,0.556,0.571,31752354.0,1800998912.0
2025-12-04 15:00,512000,,0.555,0.56,0.553,0.557,12687322.0,706065984.0
2025-12-03 15:00,512000,,0.562,0.563,0.554,0.555,15610378.0,869583168.0
2025-12-02 15:00,512000,,0.565,0.566,0.56,0.56,12872754.0,722840192.0
2025-12-01 15:00,512000,,0.562,0.567,0.562,0.566,16922580.0,956303232.0
2025-11-28 15:00,512000,,0.561,0.565,0.558,0.564,16617669.0,934731008.0
2025-11-27 15:00,512000,,0.561,0.566,0.56,0.562,16321554.0,919593792.0
2025-11-26 15:00,512000,,0.564,0.565,0.561,0.562,15506559.0,872966976.0
2025-11-25 15:00,512000,,0.564,0.567,0.562,0.564,13778060.0,777846144.0
2025-11-24 15:00,512000,,0.563,0.566,0.559,0.562,18399012.0,1033577216.0
2025-11-21 15:00,512000,,0.576,0.58,0.56,0.561,30186598.0,1715007104.0
2025-11-20 15:00,512000,,0.593,0.595,0.58,0.581,23644554.0,1389331328.0
2025-11-19 15:00,512000,,0.583,0.588,0.58,0.583,12476476.0,728234560.0
2025-11-18 15:00,512000,,0.582,0.588,0.581,0.583,13897021.0,812054144.0
2025-11-17 15:00,512000,,0.588,0.588,0.581,0.582,19649562.0,1147141504.0
2025-11-14 15:00,512000,,0.593,0.595,0.589,0.589,14338851.0,848897536.0
2025-11-13 15:00,512000,,0.59,0.597,0.589,0.596,20442004.0,1213544064.0
2025-11-12 15:00,512000,,0.595,0.596,0.588,0.591,20917708.0,1237713408.0
2025-11-11 15:00,512000,,0.602,0.604,0.594,0.595,14995702.0,895547264.0
2025-11-10 15:00,512000,,0.594,0.605,0.593,0.602,20688392.0,1239989248.0
2025-11-07 15:00,512000,,0.598,0.599,0.593,0.595,16880046.0,1004850624.0
2025-11-06 15:00,512000,,0.594,0.604,0.593,0.6,24790950.0,1486658560.0
2025-11-05 15:00,512000,,0.59,0.595,0.59,0.593,12195645.0,723121152.0
2025-11-04 15:00,512000,,0.595,0.598,0.591,0.593,20395442.0,1211901312.0
2025-11-03 15:00,512000,,0.598,0.599,0.589,0.597,22892166.0,1359154048.0
2025-10-31 15:00,512000,,0.607,0.61,0.599,0.6,23677936.0,1426432256.0
2025-10-30 15:00,512000,,0.614,0.616,0.605,0.606,31243784.0,1908303232.0
2025-10-29 15:00,512000,,0.604,0.62,0.603,0.617,47111680.0,2893351424.0
2025-10-28 15:00,512000,,0.606,0.61,0.603,0.605,22242554.0,1346488192.0
2025-10-27 15:00,512000,,0.607,0.612,0.603,0.608,39774180.0,2416609536.0
2025-10-24 15:00,512000,,0.596,0.601,0.594,0.6,24138476.0,1442418304.0
2025-10-23 15:00,512000,,0.59,0.596,0.584,0.595,23079386.0,1360853376.0
2025-10-22 15:00,512000,,0.593,0.593,0.588,0.59,17453916.0,1029592448.0
2025-10-21 15:00,512000,,0.591,0.604,0.591,0.595,26845388.0,1602406400.0
2025-10-20 15:00,512000,,0.595,0.597,0.588,0.59,22727918.0,1344912256.0
2025-10-17 15:00,512000,,0.602,0.607,0.589,0.59,30152948.0,1801604224.0
2025-10-16 15:00,512000,,0.601,0.607,0.598,0.601,23412078.0,1410199040.0
2025-10-15 15:00,512000,,0.598,0.604,0.592,0.603,31718246.0,1898814848.0
2025-10-14 15:00,512000,,0.6,0.611,0.594,0.596,33033530.0,1987302912.0
2025-10-13 15:00,512000,,0.595,0.602,0.592,0.6,29245156.0,1743622272.0
2025-10-10 15:00,512000,,0.603,0.619,0.601,0.607,29243380.0,1785968640.0
2025-10-09 15:00,512000,,0.601,0.61,0.594,0.606,32114890.0,1934248576.0
2025-09-30 15:00,512000,,0.608,0.612,0.601,0.604,30049746.0,1818573056.0
2025-09-29 15:00,512000,,0.582,0.625,0.581,0.611,62159464.0,3761681920.0
2025-09-26 15:00,512000,,0.584,0.589,0.582,0.583,16921744.0,990102656.0
2025-09-25 15:00,512000,,0.584,0.59,0.583,0.585,19225546.0,1127655040.0
2025-09-24 15:00,512000,,0.577,0.589,0.576,0.585,23666514.0,1379299072.0
2025-09-23 15:00,512000,,0.587,0.587,0.573,0.58,26761700.0,1548856832.0
2025-09-22 15:00,512000,,0.585,0.59,0.582,0.589,17468104.0,1024154560.0
2025-09-19 15:00,512000,,0.587,0.589,0.582,0.584,23617384.0,1382339200.0
2025-09-18 15:00,512000,,0.605,0.605,0.583,0.588,47659916.0,2836567808.0
2025-09-17 15:00,512000,,0.604,0.612,0.602,0.606,28138924.0,1707004288.0
2025-09-16 15:00,512000,,0.603,0.61,0.598,0.604,28849754.0,1740813824.0
2025-09-15 15:00,512000,,0.604,0.61,0.601,0.603,20828284.0,1260318848.0
