date,code,name,open,high,low,close,volume,amount,MA5,MA10,MA20
2024-11-01,399006,,2149.938,2166.521,2120.725,2123.738,37280387113.0,0,2123.738,2123.738,2123.738
2024-11-04,399006,,2122.98,2187.378,2122.98,2185.984,25473410944.0,0,2154.861,2154.861,2154.861
2024-11-05,399006,,2184.905,2301.995,2172.524,2289.841,35083710675.0,0,2199.854333333333,2199.854333333333,2199.854333333333
2024-11-06,399006,,2290.671,2360.881,2247.038,2265.833,40303017712.0,0,2216.349,2216.349,2216.349
2024-11-07,399006,,2244.959,2350.76,2240.246,2350.76,40590422345.0,0,2243.2311999999997,2243.2311999999997,2243.2311999999997
2024-11-08,399006,,2396.868,2402.379,2317.509,2321.587,41376921103.0,0,2282.8010000000004,2256.2905,2256.2905
2024-11-11,399006,,2298.619,2393.578,2296.323,2392.443,37752959789.0,0,2324.0928,2275.7408571428573,2275.7408571428573
2024-11-12,399006,,2416.211,2448.201,2362.566,2390.803,37875415778.0,0,2344.2852,2290.123625,2290.123625
2024-11-13,399006,,2367.163,2427.156,2345.064,2417.252,29980905784.0,0,2374.5690000000004,2304.2490000000003,2304.2490000000003
2024-11-14,399006,,2411.291,2419.686,2331.68,2334.964,27078868842.0,0,2371.4098,2307.3205000000003,2307.3205000000003
2024-11-15,399006,,2318.936,2338.557,2243.62,2243.62,28933089995.0,0,2355.8163999999997,2319.3087,2301.5295454545453
2024-11-18,399006,,2244.323,2254.922,2173.184,2190.95,28351839960.0,0,2315.5178,2319.8053,2292.3145833333333
2024-11-19,399006,,2200.133,2261.587,2173.454,2256.607,24419950118.0,0,2288.6786,2316.4819,2289.567846153846
2024-11-20,399006,,2242.599,2283.748,2239.769,2267.855,28868125257.0,0,2258.7992,2316.6841,2288.0169285714287
2024-11-21,399006,,2254.269,2281.16,2248.382,2265.866,28232062686.0,0,2244.9795999999997,2308.1947,2286.5402000000004
2024-11-22,399006,,2257.951,2269.265,2175.571,2175.571,30157172820.0,0,2231.3697999999995,2293.5931,2279.604625
2024-11-25,399006,,2184.103,2193.679,2140.476,2175.184,25157590775.0,0,2228.2166,2271.8671999999997,2273.462235294118
2024-11-26,399006,,2163.374,2187.12,2148.137,2150.097,23317980536.0,0,2206.9146,2247.7966,2266.6086111111113
